Date & Time,ECG_Data
[2023-04-06 14:21:13.307] ,307
[2023-04-06 14:21:13.307] ,303
[2023-04-06 14:21:13.307] ,311
[2023-04-06 14:21:13.307] ,308
[2023-04-06 14:21:13.307] ,306
[2023-04-06 14:21:13.307] ,308
[2023-04-06 14:21:13.307] ,312
[2023-04-06 14:21:13.307] ,310
[2023-04-06 14:21:13.307] ,319
[2023-04-06 14:21:13.307] ,315
[2023-04-06 14:21:13.307] ,316
[2023-04-06 14:21:13.307] ,318
[2023-04-06 14:21:13.307] ,322
[2023-04-06 14:21:13.307] ,327
[2023-04-06 14:21:13.307] ,324
[2023-04-06 14:21:13.307] ,315
[2023-04-06 14:21:13.307] ,325
[2023-04-06 14:21:13.307] ,324
[2023-04-06 14:21:13.307] ,325
[2023-04-06 14:21:13.307] ,329
[2023-04-06 14:21:13.307] ,324
[2023-04-06 14:21:13.307] ,326
[2023-04-06 14:21:13.307] ,331
[2023-04-06 14:21:13.307] ,316
[2023-04-06 14:21:13.307] ,325
[2023-04-06 14:21:13.307] ,321
[2023-04-06 14:21:13.307] ,325
[2023-04-06 14:21:13.307] ,332
[2023-04-06 14:21:13.307] ,320
[2023-04-06 14:21:13.307] ,319
[2023-04-06 14:21:13.307] ,329
[2023-04-06 14:21:13.307] ,328
[2023-04-06 14:21:13.307] ,339
[2023-04-06 14:21:13.307] ,342
[2023-04-06 14:21:13.307] ,353
[2023-04-06 14:21:13.307] ,353
[2023-04-06 14:21:13.307] ,351
[2023-04-06 14:21:13.307] ,325
[2023-04-06 14:21:13.307] ,322
[2023-04-06 14:21:13.307] ,318
[2023-04-06 14:21:13.307] ,318
[2023-04-06 14:21:13.307] ,318
[2023-04-06 14:21:13.307] ,318
[2023-04-06 14:21:13.307] ,325
[2023-04-06 14:21:13.307] ,318
[2023-04-06 14:21:13.307] ,332
[2023-04-06 14:21:13.307] ,478
[2023-04-06 14:21:13.307] ,657
[2023-04-06 14:21:13.307] ,489
[2023-04-06 14:21:13.307] ,272
[2023-04-06 14:21:13.307] ,357
[2023-04-06 14:21:13.307] ,328
[2023-04-06 14:21:13.307] ,319
[2023-04-06 14:21:13.307] ,319
[2023-04-06 14:21:13.307] ,322
[2023-04-06 14:21:13.307] ,321
[2023-04-06 14:21:13.307] ,329
[2023-04-06 14:21:13.307] ,328
[2023-04-06 14:21:13.307] ,330
[2023-04-06 14:21:13.308] ,338
[2023-04-06 14:21:13.308] ,339
[2023-04-06 14:21:13.308] ,340
[2023-04-06 14:21:13.308] ,340
[2023-04-06 14:21:13.308] ,346
[2023-04-06 14:21:13.308] ,355
[2023-04-06 14:21:13.308] ,367
[2023-04-06 14:21:13.308] ,358
[2023-04-06 14:21:13.308] ,379
[2023-04-06 14:21:13.308] ,374
[2023-04-06 14:21:13.308] ,382
[2023-04-06 14:21:13.308] ,372
[2023-04-06 14:21:13.308] ,355
[2023-04-06 14:21:13.308] ,340
[2023-04-06 14:21:13.308] ,327
[2023-04-06 14:21:13.308] ,317
[2023-04-06 14:21:13.308] ,312
[2023-04-06 14:21:13.308] ,307
[2023-04-06 14:21:13.308] ,311
[2023-04-06 14:21:13.308] ,312
[2023-04-06 14:21:13.308] ,303
[2023-04-06 14:21:13.308] ,311
[2023-04-06 14:21:13.308] ,311
[2023-04-06 14:21:13.308] ,308
[2023-04-06 14:21:13.308] ,313
[2023-04-06 14:21:13.308] ,319
[2023-04-06 14:21:13.308] ,311
[2023-04-06 14:21:13.308] ,317
[2023-04-06 14:21:13.308] ,316
[2023-04-06 14:21:13.308] ,318
[2023-04-06 14:21:13.308] ,318
[2023-04-06 14:21:13.308] ,319
[2023-04-06 14:21:13.308] ,316
[2023-04-06 14:21:13.308] ,320
[2023-04-06 14:21:13.308] ,316
[2023-04-06 14:21:13.308] ,312
[2023-04-06 14:21:13.308] ,319
[2023-04-06 14:21:13.308] ,313
[2023-04-06 14:21:13.308] ,314
[2023-04-06 14:21:13.308] ,321
[2023-04-06 14:21:13.308] ,315
[2023-04-06 14:21:13.308] ,314
[2023-04-06 14:21:13.308] ,320
[2023-04-06 14:21:13.308] ,311
[2023-04-06 14:21:13.308] ,320
[2023-04-06 14:21:13.308] ,320
[2023-04-06 14:21:13.308] ,318
[2023-04-06 14:21:13.308] ,322
[2023-04-06 14:21:13.308] ,312
[2023-04-06 14:21:13.308] ,326
[2023-04-06 14:21:13.308] ,317
[2023-04-06 14:21:13.308] ,327
[2023-04-06 14:21:13.308] ,341
[2023-04-06 14:21:13.308] ,343
[2023-04-06 14:21:13.308] ,344
[2023-04-06 14:21:13.308] ,355
[2023-04-06 14:21:13.308] ,349
[2023-04-06 14:21:13.308] ,326
